Model,MAE,RMSE,MSE,MAPE
naive_drift_model,1800.8917,2743.377,7526116.5,8.578919619321823
naive_model,1855.8708,2822.8518,7968493.0,8.841709792613983
naive_seasonal_model,1907.3856,2853.248,8141025.0,9.125959873199463
-,-,-,-,-
Backtesting Naive Drift Model,,,,
Naive Drift fh=1,476.25232,725.23303,525962.94,1.5522055327892303
Naive Drift fh=7,1328.9774,1891.7742,3578809.5,4.350427538156509
Naive Drift fh=30,3096.5166,3882.0388,15070226.0,9.717575460672379
-,-,-,-,-
Backtesting Naive Model,,,,
Naive fh=1,475.83963,725.65875,526580.6,1.550288125872612
Naive fh=7,1330.974,1901.6902,3616425.8,4.347711428999901
Naive fh=30,3149.3557,3991.0166,15928213.0,9.825743734836578
-,-,-,-,-
Backtesting Naive Seasonal Model,,,,
Naive Seasonal fh=1,1331.7538,1897.0056,3598630.2,4.374900087714195
Naive Seasonal fh=7,1330.974,1901.6902,3616425.8,4.347711428999901
Naive Seasonal fh=30,3585.0916,4454.363,19841350.0,11.135898530483246
-,-,-,-,-
Random Forest,683.1752482697564,1058.7109789552655,1120868.9369604166,3.468199498257914
-,-,-,-,-
Backtesting Random Forest,,,,
Random Forest fh=1,3280.6224199473104,3834.216223857263,14701214.051290246,11.297611675982042
Random Forest fh=7,3662.348266043883,4256.592738639859,18118581.742641572,12.6139788591217
Random Forest fh=30,3859.2645575481693,4384.727247496443,19225833.034937732,13.247587660643273
-,-,-,-,-
LSTM,2471.7957,2766.2405,7652087.0,12.972185015678406
-,-,-,-,-
Backtesting LSTM Model,,,,
LSTM fh=1,2308.8293,2641.921,6979746.5,7.652677595615387
LSTM fh=7,3032.5537,3382.8257,11443509.0,10.22125706076622
LSTM fh=30,3287.0396,3626.307,13150101.0,10.968698561191559
-,-,-,-,-
VanillaRNN,2197.262,2644.8567,6995266.5,11.458475142717361
-,-,-,-,-
Backtesting RNN Model,,,,
RNN fh=1,1389.313,1666.4512,2777059.5,4.553504660725594
RNN fh=7,1521.138,2150.388,4624168.5,4.924555122852325
RNN fh=30,1555.4229,2214.613,4904511.0,4.940137267112732
-,-,-,-,-
GRU Model,1444.962,1703.1177,2900610.0,7.644455134868622
-,-,-,-,-
Backtesting GRU Model,,,,
GRU fh=1,1488.8241,1665.4664,2773778.2,5.075389891862869
GRU fh=7,1528.3726,1940.3003,3764765.2,5.301862955093384
GRU fh=30,1602.8348,2008.4851,4034012.2,5.47875240445137
-,-,-,-,-
Transformer Model,2390.3577,3185.8342,10149539.0,11.796802282333374
-,-,-,-,-
Backtesting Transformer Model,,,,
Transformer fh=1,1459.4587,1863.7444,3473543.0,4.638635739684105
Transformer fh=7,2064.0786,2617.3542,6850543.0,6.605726480484009
Transformer fh=30,2333.1997,2968.335,8811013.0,7.264932245016098
-,-,-,-,-
TFT,3024.2183,4268.9253,18223722.0,14.7584468126297
-,-,-,-,-
Backtesting TFT Model,,,,
TFT fh=1,3956.785,4743.8105,22503740.0,13.86825293302536
TFT fh=7,4571.2925,5479.097,30020508.0,15.67070335149765
TFT fh=30,5458.2188,6242.8643,38973356.0,18.58578473329544
-,-,-,-,-
NBEATS,3156.843,4079.7937,16644717.0,15.686477720737457
-,-,-,-,-
Backtesting NBEATS Model,,,,
NBEATS fh=1,2185.8997,2610.605,6815258.0,7.366064935922623
NBEATS fh=7,2878.5386,3643.129,13272388.0,9.588178992271423
NBEATS fh=30,3057.4434,3850.4548,14826002.0,10.038228332996368
-,-,-,-,-
TCN,1688.637,2223.5708,4944267.5,8.383679389953613
-,-,-,-,-
Backtesting TCN Model,,,,
TCN fh=1,3017.2532,4174.241,17424290.0,10.06162017583847
TCN fh=7,3026.447,4183.704,17503378.0,10.043437033891678
TCN fh=30,3336.2764,4488.747,20148852.0,10.961858183145523
-,-,-,-,-
LightGBM,2098.378264374115,2759.790832307127,7616445.438086464,10.411583477929335
-,-,-,-,-
Backtesting LightGBM Model,,,,
LightGBM fh=1,1712.2130519866446,2009.124174818862,4036579.9498415734,5.738220296162854
LightGBM fh=7,5354.736536062496,5916.018961336046,34999280.35088763,18.261083976610763
LightGBM fh=30,6670.081430866361,7199.515405041837,51833022.06743473,22.634520065203944
-,-,-,-,-
XGB,3001.6707,4152.7334,17245194.0,14.671190083026886
-,-,-,-,-
Backtesting XGB Model,,,,
XGB fh=1,2854.8022,3367.2402,11338306.0,9.586988389492035
XGB fh=7,4639.5225,5348.5835,28607348.0,16.116471588611603
XGB fh=30,4712.708,5386.844,29018090.0,16.022689640522003
-,-,-,-,-
CatBoost,18577.202256775956,18710.133465054107,350069094.28013766,99.99859182318261
-,-,-,-,-
Backtesting Catboost Model,,,,
Catboost fh=1,1909.2920559937218,2392.2732740776783,5722971.417866334,6.241945627090132
Catboost fh=7,2571.1171492896065,3142.4321443023614,9874879.781544736,8.554755134031367
Catboost fh=30,2781.8909464419303,3361.1942120257554,11297626.530955438,9.075149837927803
-,-,-,-,-
